Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
29.11.2024;01:00;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0
29.11.2024;00:59;A 96;1;0;100;0;100;1;1;0;0;1;1;2;2;1;1;0;0;0;0;0;0
29.11.2024;00:58;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0
29.11.2024;00:57;A 96;1;0;100;0;100;0;0;0;0;1;21;0;0;2;2;0;0;0;0;0;0
29.11.2024;00:56;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
29.11.2024;00:55;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:54;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:53;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
29.11.2024;00:52;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:51;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
29.11.2024;00:50;A 96;1;0;100;0;100;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:49;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0
29.11.2024;00:48;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:47;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
29.11.2024;00:46;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;3;0;0;0;0;0;0
29.11.2024;00:45;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:44;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0
29.11.2024;00:43;A 96;1;0;100;0;100;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
29.11.2024;00:42;A 96;1;0;100;0;100;0;0;0;0;0;34;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:41;A 96;1;0;100;0;100;1;1;0;0;1;26;2;2;1;1;0;0;0;0;0;0
29.11.2024;00:40;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:39;A 96;1;0;100;0;100;0;61;0;0;0;0;1;1;1;1;0;0;0;0;0;0
29.11.2024;00:38;A 96;1;0;100;0;100;1;13;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:37;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0
29.11.2024;00:36;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:35;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:34;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0
29.11.2024;00:33;A 96;1;0;100;0;100;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:32;A 96;1;0;100;0;100;1;7;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:31;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:30;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:29;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:28;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:27;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:26;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0
29.11.2024;00:25;A 96;1;0;100;0;100;1;38;0;0;0;0;2;2;0;0;0;0;0;0;0;0
29.11.2024;00:24;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:23;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:22;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:21;A 96;1;0;100;0;100;2;17;0;0;0;0;1;0;1;3;0;0;0;0;0;0
29.11.2024;00:20;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
29.11.2024;00:19;A 96;1;0;100;0;100;0;0;0;8;0;0;0;0;1;1;0;0;0;0;0;0
29.11.2024;00:18;A 96;1;0;100;0;100;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:17;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0
29.11.2024;00:16;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:15;A 96;1;0;100;0;100;0;0;0;0;0;0;4;4;1;3;0;0;0;0;0;0
29.11.2024;00:14;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:13;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
29.11.2024;00:12;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
29.11.2024;00:11;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0
29.11.2024;00:10;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:09;A 96;1;0;100;0;100;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
29.11.2024;00:08;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0
29.11.2024;00:07;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;3;2;0;0;0;0;0;0
29.11.2024;00:06;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
29.11.2024;00:05;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0
29.11.2024;00:04;A 96;1;0;100;0;100;0;0;0;0;0;0;1;9;1;8;0;0;0;0;0;0
29.11.2024;00:03;A 96;1;0;100;0;100;0;21;0;0;0;0;1;1;1;1;0;0;0;0;0;0
29.11.2024;00:02;A 96;1;0;100;0;100;1;15;0;0;0;0;1;1;2;2;0;0;0;0;0;0
29.11.2024;00:01;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2024;00:00;A 96;1;0;100;0;100;1;57;0;0;0;0;1;1;2;2;0;0;0;0;0;0
28.11.2024;23:59;A 96;1;0;100;0;100;1;12;0;0;0;0;0;0;3;3;0;0;0;0;0;0
