Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V52Z;V52B;V111Z;V111B;V112Z;V112B;V351Z;V351B;TF35aZ;TF35aB;TF35bZ;TF35bB;TBS35aZ;TBS35aB;TBS35bZ;TBS35bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB
18.01.2024;01:00;A 48;1;0;0;0;0;1;7;1;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:59;A 48;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:58;A 48;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:57;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:56;A 48;1;1;4;0;0;2;12;1;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:55;A 48;1;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:54;A 48;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:53;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:52;A 48;1;1;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:51;A 48;1;1;5;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:50;A 48;1;2;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:49;A 48;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:48;A 48;1;0;0;0;0;2;8;2;12;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:47;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:46;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:45;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:44;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:43;A 48;1;0;0;1;5;1;4;1;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:42;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:41;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:40;A 48;1;1;5;0;0;1;6;2;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:39;A 48;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:38;A 48;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:37;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:36;A 48;1;0;0;0;0;1;5;1;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
18.01.2024;00:35;A 48;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
