Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
08.10.2024;02:00;A182;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0
08.10.2024;01:59;A182;1;0;4;1;3;0;0;0;0;0;0;1;1;2;1;0;0
08.10.2024;01:58;A182;1;1;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0
08.10.2024;01:57;A182;1;0;0;0;0;1;1;1;52;0;0;0;0;0;0;0;0
08.10.2024;01:56;A182;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
08.10.2024;01:55;A182;1;0;0;0;0;0;0;0;0;0;0;2;6;3;3;0;0
08.10.2024;01:54;A182;1;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0
08.10.2024;01:53;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:52;A182;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0
08.10.2024;01:51;A182;1;1;8;1;7;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:50;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:49;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:48;A182;1;0;0;0;0;1;59;2;63;0;0;1;2;2;1;0;0
08.10.2024;01:47;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:46;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:45;A182;1;1;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:44;A182;1;1;6;1;8;0;16;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:43;A182;1;0;0;0;0;1;36;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:42;A182;1;1;9;1;8;0;0;0;29;0;0;1;2;1;2;0;0
08.10.2024;01:41;A182;1;0;0;0;0;0;0;1;76;0;0;0;0;0;0;13;29
08.10.2024;01:40;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:39;A182;1;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0
08.10.2024;01:38;A182;1;1;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:37;A182;1;1;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:36;A182;1;1;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:35;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:34;A182;1;0;0;0;0;1;54;0;0;0;0;1;2;2;2;0;0
08.10.2024;01:33;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:32;A182;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
08.10.2024;01:31;A182;1;1;5;1;3;0;0;1;32;0;0;0;0;0;0;0;0
08.10.2024;01:30;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:29;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:28;A182;1;0;9;0;0;0;0;0;0;0;0;1;2;1;1;0;0
08.10.2024;01:27;A182;1;1;2;0;0;0;0;0;0;0;0;1;1;1;1;0;0
08.10.2024;01:26;A182;1;1;4;1;3;0;0;0;0;0;0;1;1;1;1;0;0
08.10.2024;01:25;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:24;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:23;A182;1;1;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0
08.10.2024;01:22;A182;1;1;6;1;4;0;0;0;0;0;0;0;0;0;0;0;0
