Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D31_1Z;D31_1B;D31_2Z;D31_2B;V32Z;V32B;D51Z;D51B;D52Z;D52B;D53Z;D53B;V54Z;V54B;V55Z;V55B;V56Z;V56B;D61Z;D61B;D62Z;D62B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D91_1Z;D91_1B;D91_2Z;D91_2B;V92Z;V92B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D121Z;D121B;V122Z;V122B;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;T4a_sZ;T4a_sB;T4a_bZ;T4a_bB;T4b_sZ;T4b_sB;T4b_bZ;T4b_bB;T5_sZ;T5_sB;T5_bZ;T5_bB;T6_sZ;T6_sB;T6_bZ;T6_bB;T7_sZ;T7_sB;T7_bZ;T7_bB;T8_sZ;T8_sB;T8_bZ;T8_bB;T9a_sZ;T9a_sB;T9a_bZ;T9a_bB;T9b_sZ;T9b_sB;T9b_bZ;T9b_bB;T10_sZ;T10_sB;T10_bZ;T10_bB;ST52Z;ST52B;V1_i_OZ;V1_i_OB;V2_i_OZ;V2_i_OB;V3_i_OZ;V3_i_OB;V4_i_OZ;V4_i_OB
29.12.2024;01:00;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;1;3;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:59;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:58;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;1;84;0;0;1;6;0;0;0;0;0;0;0;0;2;7;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:57;A147;1;0;0;0;0;0;0;0;100;0;0;1;9;2;52;0;0;0;10;2;15;0;0;0;0;0;0;0;0;1;46;0;0;1;8;0;0;0;0;0;0;1;0;1;0;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:56;A147;1;0;0;0;0;0;0;0;100;0;0;1;61;1;80;1;0;2;65;1;6;1;2;0;0;0;0;0;0;1;18;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:55;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:54;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;2;8;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:53;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0;0;1;6;0;0;0;0;0;0;0;0;2;45;1;3;2;10;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:52;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;35;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2024;00:51;A147;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;54;0;0;0;0;2;8;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;42;0;0;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
