Datum;Uhrzeit;Bezeichnung;Intervall;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
17.07.2024;02:45;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:44;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:43;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:42;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:41;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:40;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:39;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:38;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:37;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:36;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:35;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:34;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:33;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:32;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:31;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:30;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:29;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:28;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:27;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:26;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:25;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:24;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:23;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:22;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:21;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:20;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:19;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:18;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:17;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:16;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:15;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:14;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:13;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:12;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:11;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:10;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:09;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:08;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:07;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:06;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:05;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:04;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:03;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:02;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:01;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:00;A140;1;0;0;0;0;0;0;0;0
