Datum;Uhrzeit;Bezeichnung;Intervall;ReserveZ;ReserveB;V12Z;V12B;V21Z;V21B;V22Z;V22B;V23Z;V23B;V24Z;V24B;D31Z;D31B;D32Z;D32B;AF_T1_T2Z;AF_T1_T2B;AF_T3_T4Z;AF_T3_T4B;AF_BS_32Z;AF_BS_32B;AF_BS_35Z;AF_BS_35B;AF_BS_38Z;AF_BS_38B;AF_BS_41Z;AF_BS_41B
19.03.2024;01:00;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:59;A 28;1;0;0;0;0;0;0;1;5;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:58;A 28;1;0;0;0;0;0;0;1;5;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:57;A 28;1;0;0;0;0;0;0;1;33;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:56;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:55;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:54;A 28;1;0;0;0;0;0;0;1;6;1;9;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:53;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:52;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:51;A 28;1;0;0;0;0;0;0;1;6;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:50;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:49;A 28;1;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:48;A 28;1;0;0;0;0;0;0;2;11;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:47;A 28;1;0;0;0;0;0;0;2;3;0;0;1;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;1;1
19.03.2024;00:46;A 28;1;0;0;1;3;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:45;A 28;1;0;0;2;19;0;0;0;18;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:44;A 28;1;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:43;A 28;1;0;0;0;0;0;0;1;2;0;0;1;3;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:42;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:41;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:40;A 28;1;0;0;1;1;1;1;2;10;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:39;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:38;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:37;A 28;1;0;0;0;0;0;0;2;4;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:36;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:35;A 28;1;0;0;0;0;0;0;1;41;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:34;A 28;1;0;0;0;0;0;0;2;19;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:33;A 28;1;0;0;0;0;0;0;1;7;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:32;A 28;1;0;0;0;0;0;0;1;5;2;5;1;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:31;A 28;1;0;0;1;38;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:30;A 28;1;0;0;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:29;A 28;1;0;0;0;0;0;0;1;14;0;0;1;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:28;A 28;1;0;0;0;0;0;0;0;0;1;8;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:27;A 28;1;0;0;0;0;0;0;0;0;0;0;1;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:26;A 28;1;0;0;0;0;0;0;2;10;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:25;A 28;1;0;0;2;34;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:24;A 28;1;0;0;0;0;0;0;2;5;1;9;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:23;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:22;A 28;1;0;0;2;2;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:21;A 28;1;0;0;0;0;0;0;1;5;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:20;A 28;1;0;0;1;2;0;0;2;2;0;0;1;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:19;A 28;1;0;0;1;5;0;0;0;0;2;9;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:18;A 28;1;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:17;A 28;1;0;0;1;8;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:16;A 28;1;0;0;0;0;0;0;1;2;1;1;1;2;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:15;A 28;1;0;0;0;0;0;0;1;3;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2024;00:14;A 28;1;0;0;0;26;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0
