Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;V31Z;V31B;V32Z;V32B;V33Z;V33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;T1-T2_Anf_32Z;T1-T2_Anf_32B;T3-T4_Anf_38Z;T3-T4_Anf_38B;V14Z;V14B;V40Z;V40B;T5-T6_Anf_31Z;T5-T6_Anf_31B
31.08.2024;02:00;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
31.08.2024;01:59;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;1;1;3;20;2;5;2;5;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:58;A181;1;0;0;1;3;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:57;A181;1;0;0;2;7;2;12;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
31.08.2024;01:56;A181;1;0;0;1;3;1;6;0;100;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
31.08.2024;01:55;A181;1;0;0;1;3;1;3;0;100;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0
31.08.2024;01:54;A181;1;0;0;1;1;0;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:53;A181;1;0;0;1;3;1;0;0;100;0;0;1;2;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:52;A181;1;0;0;1;2;1;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
31.08.2024;01:51;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:50;A181;1;0;0;3;3;2;5;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:49;A181;1;0;0;0;0;2;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0
31.08.2024;01:48;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;2;17;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:47;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;3;0;0
31.08.2024;01:46;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:45;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:44;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;1;1;40;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:43;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
31.08.2024;01:42;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:41;A181;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:40;A181;1;0;0;0;0;0;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:39;A181;1;0;0;0;0;1;1;0;100;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:38;A181;1;0;0;2;14;3;12;0;100;0;0;1;3;1;1;0;0;0;0;1;37;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:37;A181;1;0;0;0;0;0;0;0;100;0;0;2;7;3;9;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:36;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;1;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:35;A181;1;0;0;1;1;1;2;0;100;0;0;1;2;1;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:34;A181;1;0;0;1;1;1;3;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
31.08.2024;01:33;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:32;A181;1;0;0;2;23;1;11;0;100;0;0;2;5;3;4;3;30;1;17;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:31;A181;1;0;0;0;0;0;0;0;100;0;0;1;3;1;2;1;35;1;18;0;0;0;0;0;0;2;3;0;0;0;0
31.08.2024;01:30;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:29;A181;1;0;0;1;2;1;4;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:28;A181;1;0;0;2;3;2;5;0;100;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:27;A181;1;0;0;1;2;2;7;0;100;0;0;0;0;1;3;1;20;0;0;1;4;0;0;0;0;1;2;0;0;0;0
31.08.2024;01:26;A181;1;0;0;1;1;0;2;0;100;0;0;1;3;3;5;2;22;0;0;1;2;0;0;0;0;1;2;0;0;0;0
31.08.2024;01:25;A181;1;0;0;0;0;1;1;0;100;0;0;0;0;0;0;1;2;0;0;1;23;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:24;A181;1;0;0;1;2;1;3;0;100;0;0;2;5;2;5;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:23;A181;1;0;0;0;0;0;0;0;100;0;0;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0
31.08.2024;01:22;A181;1;0;0;1;1;1;2;0;100;0;0;0;0;0;0;1;22;0;0;1;28;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:21;A181;1;0;0;2;3;2;8;0;100;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:20;A181;1;0;0;2;22;1;18;0;100;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:19;A181;1;0;0;0;0;0;0;0;100;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:18;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;2;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:17;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
31.08.2024;01:16;A181;1;0;0;2;3;0;0;0;100;0;0;0;0;1;1;1;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:15;A181;1;0;0;0;1;0;0;0;100;0;0;1;1;2;3;0;13;0;0;1;1;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:14;A181;1;0;0;5;7;4;28;0;100;0;0;0;0;1;1;3;53;1;1;0;18;1;2;0;0;2;2;0;0;0;0
31.08.2024;01:13;A181;1;0;0;1;2;1;3;0;100;0;0;0;0;0;0;1;30;0;0;2;28;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:12;A181;1;0;0;2;2;2;2;0;100;0;0;4;53;2;55;1;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0
31.08.2024;01:11;A181;1;0;0;2;6;1;2;0;100;0;0;0;0;0;0;2;22;1;15;3;5;0;0;0;0;1;4;0;0;0;0
31.08.2024;01:10;A181;1;0;0;3;24;3;13;0;100;0;0;1;2;1;2;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:09;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:08;A181;1;0;0;1;1;1;1;0;100;0;0;0;0;0;0;1;29;1;5;1;1;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:07;A181;1;0;0;0;0;0;0;0;100;0;0;2;10;3;8;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:06;A181;1;0;0;2;3;1;8;0;100;0;0;3;9;4;5;0;0;2;12;0;0;0;0;0;0;2;5;0;0;0;0
31.08.2024;01:05;A181;1;0;0;2;3;2;5;0;100;0;0;2;8;3;5;1;27;0;0;0;0;0;0;0;0;1;2;0;0;0;0
31.08.2024;01:04;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;75;0;0;0;68;0;0;0;0;1;2;0;0;0;0
31.08.2024;01:03;A181;1;0;0;0;0;0;0;0;100;0;0;1;3;1;9;2;58;0;0;1;45;0;0;0;0;1;3;0;0;0;0
31.08.2024;01:02;A181;1;0;0;0;0;0;0;0;100;0;0;1;3;3;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:01;A181;1;0;0;2;4;1;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.08.2024;01:00;A181;1;0;0;0;0;0;0;0;100;0;0;1;4;2;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
