Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;V351Z;V351B;TF35Z;TF35B;TF35aZ;TF35aB;TBS35Z;TBS35B;TBS35aZ;TBS35aB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;MP_A81_MP3Z;MP_A81_MP3B;MP_A77_MP1Z;MP_A77_MP1B;MP_A51_MP4Z;MP_A51_MP4B;MP_A77_MP2Z;MP_A77_MP2B
30.11.2024;01:00;A 77;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:59;A 77;1;0;0;2;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:58;A 77;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:57;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:56;A 77;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:55;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:54;A 77;1;0;0;2;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:53;A 77;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:52;A 77;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:51;A 77;1;1;5;1;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:50;A 77;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:49;A 77;1;0;0;2;42;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:48;A 77;1;0;0;2;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:47;A 77;1;0;0;1;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:46;A 77;1;0;0;2;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:45;A 77;1;1;6;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:44;A 77;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:43;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:42;A 77;1;1;17;1;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:41;A 77;1;2;9;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:40;A 77;1;1;14;1;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:39;A 77;1;1;2;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
30.11.2024;00:38;A 77;1;1;8;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
