Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
12.12.2024;01:00;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:59;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:58;A111;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
12.12.2024;00:57;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:56;A111;1;1;1;0;0;0;0;1;2;0;0;0;0;0;0
12.12.2024;00:55;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:54;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:53;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:52;A111;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:51;A111;1;1;2;1;1;2;4;0;0;0;0;0;0;0;0
12.12.2024;00:50;A111;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
12.12.2024;00:49;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:48;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:47;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:46;A111;1;0;0;1;40;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:45;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:44;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:43;A111;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:42;A111;1;0;0;1;59;4;6;0;0;0;0;0;0;0;0
12.12.2024;00:41;A111;1;0;0;2;32;2;3;0;0;0;0;0;0;0;0
12.12.2024;00:40;A111;1;0;0;1;39;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:39;A111;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:38;A111;1;1;1;0;29;2;3;0;0;0;0;0;0;0;0
12.12.2024;00:37;A111;1;0;0;1;21;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:36;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:35;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:34;A111;1;0;0;2;6;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:33;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:32;A111;1;0;0;3;26;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:31;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:30;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:29;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:28;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:27;A111;1;2;4;0;0;2;1;0;0;0;0;0;0;0;0
12.12.2024;00:26;A111;1;0;0;1;1;2;2;0;0;0;0;0;0;0;0
12.12.2024;00:25;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:24;A111;1;0;0;1;1;2;2;0;0;0;0;0;0;0;0
12.12.2024;00:23;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:22;A111;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:21;A111;1;1;1;1;1;3;5;0;0;0;0;0;0;0;0
12.12.2024;00:20;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:19;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:18;A111;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0
12.12.2024;00:17;A111;1;1;2;2;3;2;2;0;0;0;0;0;0;0;0
12.12.2024;00:16;A111;1;1;1;1;60;1;2;0;0;0;0;0;0;0;0
12.12.2024;00:15;A111;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0
12.12.2024;00:14;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:13;A111;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:12;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:11;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:10;A111;1;0;0;0;33;2;2;0;0;0;0;0;0;0;0
12.12.2024;00:09;A111;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:08;A111;1;0;0;2;2;2;6;0;0;0;0;0;0;0;0
12.12.2024;00:07;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:06;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:05;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:04;A111;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
12.12.2024;00:03;A111;1;0;0;1;12;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:02;A111;1;2;2;0;0;1;1;0;0;0;0;0;0;0;0
12.12.2024;00:01;A111;1;1;3;1;8;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:00;A111;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:59;A111;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:58;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:57;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:56;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:55;A111;1;0;0;1;1;2;2;0;0;0;0;0;0;0;0
11.12.2024;23:54;A111;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0
11.12.2024;23:53;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:52;A111;1;0;0;1;1;3;7;0;0;0;0;0;0;0;0
11.12.2024;23:51;A111;1;2;2;0;0;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:50;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:49;A111;1;1;1;0;0;2;3;0;0;0;0;0;0;0;0
11.12.2024;23:48;A111;1;0;0;1;3;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:47;A111;1;0;0;1;31;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:46;A111;1;1;2;0;15;2;2;1;0;0;0;0;0;0;0
11.12.2024;23:45;A111;1;0;0;1;12;2;2;0;0;0;0;0;0;0;0
11.12.2024;23:44;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
