Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;IR51Z;IR51B;IR111Z;IR111B
01.02.2025;01:00;A169;1;2;9;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:59;A169;1;3;7;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:58;A169;1;2;9;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:57;A169;1;3;9;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:56;A169;1;1;3;1;2;0;0;0;0;0;0;0;0
01.02.2025;00:55;A169;1;2;11;1;2;0;0;0;0;0;0;0;0
01.02.2025;00:54;A169;1;3;17;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:53;A169;1;4;13;2;6;0;0;0;0;0;0;0;0
01.02.2025;00:52;A169;1;0;0;1;2;0;0;0;0;0;0;0;0
01.02.2025;00:51;A169;1;2;3;3;9;0;0;0;0;0;0;0;0
01.02.2025;00:50;A169;1;2;5;2;4;0;0;0;0;0;0;0;0
01.02.2025;00:49;A169;1;3;9;2;7;0;0;0;0;0;0;0;0
01.02.2025;00:48;A169;1;1;4;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:47;A169;1;2;5;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:46;A169;1;4;14;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:45;A169;1;1;2;1;1;0;0;0;0;0;0;0;0
01.02.2025;00:44;A169;1;1;3;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:43;A169;1;3;13;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:42;A169;1;3;15;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:41;A169;1;2;8;2;12;0;0;0;0;0;0;0;0
01.02.2025;00:40;A169;1;3;9;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:39;A169;1;3;10;2;4;0;0;0;0;0;0;0;0
01.02.2025;00:38;A169;1;1;1;4;12;0;0;0;0;0;0;0;0
01.02.2025;00:37;A169;1;1;3;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:36;A169;1;3;14;3;25;0;0;0;0;0;0;0;0
01.02.2025;00:35;A169;1;4;7;3;5;0;0;0;0;0;0;0;0
01.02.2025;00:34;A169;1;3;12;1;2;0;0;0;0;0;0;0;0
01.02.2025;00:33;A169;1;4;11;2;4;0;0;0;0;0;0;0;0
01.02.2025;00:32;A169;1;3;14;2;4;0;0;0;0;0;0;0;0
01.02.2025;00:31;A169;1;1;1;3;11;0;0;0;0;0;0;0;0
01.02.2025;00:30;A169;1;1;5;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:29;A169;1;3;12;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:28;A169;1;2;3;3;17;0;0;0;0;0;0;0;0
01.02.2025;00:27;A169;1;1;4;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:26;A169;1;2;10;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:25;A169;1;1;3;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:24;A169;1;3;20;2;9;0;0;0;0;0;0;0;0
01.02.2025;00:23;A169;1;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:22;A169;1;1;5;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:21;A169;1;4;12;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:20;A169;1;1;3;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:19;A169;1;3;11;3;8;0;0;0;0;0;0;0;0
01.02.2025;00:18;A169;1;2;3;3;8;0;0;0;0;0;0;0;0
01.02.2025;00:17;A169;1;5;15;3;12;0;0;0;0;0;0;0;0
01.02.2025;00:16;A169;1;4;18;0;0;0;0;0;0;0;0;0;0
01.02.2025;00:15;A169;1;3;8;2;4;0;0;0;0;0;0;0;0
01.02.2025;00:14;A169;1;5;18;3;12;0;0;0;0;0;0;0;0
01.02.2025;00:13;A169;1;2;5;2;7;0;0;0;0;0;0;0;0
01.02.2025;00:12;A169;1;3;5;5;15;0;0;0;0;0;0;0;0
01.02.2025;00:11;A169;1;1;4;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:10;A169;1;3;12;1;2;0;0;0;0;0;0;0;0
01.02.2025;00:09;A169;1;4;14;4;10;0;0;0;0;0;0;0;0
01.02.2025;00:08;A169;1;2;3;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:07;A169;1;2;9;3;7;0;0;0;0;0;0;0;0
01.02.2025;00:06;A169;1;7;19;8;24;0;0;0;0;0;0;0;0
01.02.2025;00:05;A169;1;1;2;2;5;0;0;0;0;0;0;0;0
01.02.2025;00:04;A169;1;2;3;1;3;0;0;0;0;0;0;0;0
01.02.2025;00:03;A169;1;3;13;4;11;0;0;0;0;0;0;0;0
01.02.2025;00:02;A169;1;2;4;1;2;0;0;0;0;0;0;0;0
01.02.2025;00:01;A169;1;2;7;3;11;0;0;0;0;0;0;0;0
01.02.2025;00:00;A169;1;2;5;2;7;0;0;0;0;0;0;0;0
31.01.2025;23:59;A169;1;6;22;2;9;0;0;0;0;0;0;0;0
31.01.2025;23:58;A169;1;2;7;2;10;0;0;0;0;0;0;0;0
31.01.2025;23:57;A169;1;1;1;1;2;0;0;0;0;0;0;0;0
31.01.2025;23:56;A169;1;1;2;1;3;0;0;0;0;0;0;0;0
31.01.2025;23:55;A169;1;1;3;1;2;0;0;0;0;0;0;0;0
31.01.2025;23:54;A169;1;2;5;3;6;0;0;0;0;0;0;0;0
31.01.2025;23:53;A169;1;5;12;2;11;0;0;0;0;0;0;0;0
31.01.2025;23:52;A169;1;1;4;2;4;0;0;0;0;0;0;0;0
31.01.2025;23:51;A169;1;1;1;3;6;0;0;0;0;0;0;0;0
31.01.2025;23:50;A169;1;3;6;1;2;0;0;0;0;0;0;0;0
31.01.2025;23:49;A169;1;0;0;1;2;0;0;0;0;0;0;0;0
31.01.2025;23:48;A169;1;1;2;2;7;0;0;0;0;0;0;0;0
31.01.2025;23:47;A169;1;1;9;0;0;0;0;0;0;0;0;0;0
31.01.2025;23:46;A169;1;4;12;2;8;0;0;0;0;0;0;0;0
31.01.2025;23:45;A169;1;6;22;4;23;0;0;0;0;0;0;0;0
31.01.2025;23:44;A169;1;1;1;3;6;0;0;0;0;0;0;0;0
31.01.2025;23:43;A169;1;3;9;4;14;0;0;0;0;0;0;0;0
31.01.2025;23:42;A169;1;3;12;0;0;0;0;0;0;0;0;0;0
31.01.2025;23:41;A169;1;7;25;5;22;0;0;0;0;0;0;0;0
31.01.2025;23:40;A169;1;3;7;3;8;0;0;0;0;0;0;0;0
31.01.2025;23:39;A169;1;3;15;1;2;0;0;0;0;0;0;0;0
31.01.2025;23:38;A169;1;3;7;4;8;0;0;0;0;0;0;0;0
31.01.2025;23:37;A169;1;4;15;4;11;0;0;0;0;0;0;0;0
31.01.2025;23:36;A169;1;5;11;3;13;0;0;0;0;0;0;0;0
31.01.2025;23:35;A169;1;6;15;4;6;0;0;0;0;0;0;0;0
31.01.2025;23:34;A169;1;4;10;4;11;0;0;0;0;0;0;0;0
31.01.2025;23:33;A169;1;4;14;5;18;0;0;0;0;0;0;0;0
31.01.2025;23:32;A169;1;4;14;3;6;0;0;0;0;0;0;0;0
31.01.2025;23:31;A169;1;3;10;4;11;0;0;0;0;0;0;0;0
31.01.2025;23:30;A169;1;3;12;2;6;0;0;0;0;0;0;0;0
31.01.2025;23:29;A169;1;3;13;4;11;0;0;0;0;0;0;0;0
31.01.2025;23:28;A169;1;2;6;2;3;0;0;0;0;0;0;0;0
31.01.2025;23:27;A169;1;2;5;3;8;0;0;0;0;0;0;0;0
31.01.2025;23:26;A169;1;6;20;5;17;0;0;0;0;0;0;0;0
31.01.2025;23:25;A169;1;3;7;2;6;0;0;0;0;0;0;0;0
31.01.2025;23:24;A169;1;4;14;4;12;0;0;0;0;0;0;0;0
31.01.2025;23:23;A169;1;3;8;4;14;0;0;0;0;0;0;0;0
31.01.2025;23:22;A169;1;3;9;2;12;0;0;0;0;0;0;0;0
31.01.2025;23:21;A169;1;4;12;2;5;0;0;0;0;0;0;0;0
31.01.2025;23:20;A169;1;1;3;1;1;0;0;0;0;0;0;0;0
31.01.2025;23:19;A169;1;5;19;3;9;0;0;0;0;0;0;0;0
31.01.2025;23:18;A169;1;4;14;3;6;0;0;0;0;0;0;0;0
31.01.2025;23:17;A169;1;1;3;2;4;0;0;0;0;0;0;0;0
31.01.2025;23:16;A169;1;2;13;2;4;0;0;0;0;0;0;0;0
31.01.2025;23:15;A169;1;2;12;2;4;0;0;0;0;0;0;0;0
31.01.2025;23:14;A169;1;2;7;1;1;0;0;0;0;0;0;0;0
31.01.2025;23:13;A169;1;4;9;6;17;0;0;0;0;0;0;0;0
31.01.2025;23:12;A169;1;4;11;3;9;0;0;0;0;0;0;0;0
31.01.2025;23:11;A169;1;2;5;3;9;0;0;0;0;0;0;0;0
31.01.2025;23:10;A169;1;3;10;4;14;0;0;0;0;0;0;0;0
31.01.2025;23:09;A169;1;3;13;7;20;0;0;0;0;0;0;0;0
31.01.2025;23:08;A169;1;6;19;4;11;0;0;0;0;0;0;0;0
31.01.2025;23:07;A169;1;2;7;1;3;0;0;0;0;0;0;0;0
31.01.2025;23:06;A169;1;4;13;2;5;0;0;0;0;0;0;0;0
31.01.2025;23:05;A169;1;6;22;4;11;0;0;0;0;0;0;0;0
31.01.2025;23:04;A169;1;2;12;2;6;0;0;0;0;0;0;0;0
31.01.2025;23:03;A169;1;3;18;3;11;0;0;0;0;0;0;0;0
31.01.2025;23:02;A169;1;3;10;8;26;0;0;0;0;0;0;0;0
31.01.2025;23:01;A169;1;6;16;3;6;0;0;0;0;0;0;0;0
31.01.2025;23:00;A169;1;3;11;2;4;0;0;0;0;0;0;0;0
31.01.2025;22:59;A169;1;5;21;6;21;0;0;0;0;0;0;0;0
31.01.2025;22:58;A169;1;4;12;3;11;0;0;0;0;0;0;0;0
31.01.2025;22:57;A169;1;3;23;6;17;0;0;0;0;0;0;0;0
31.01.2025;22:56;A169;1;2;10;5;12;0;0;0;0;0;0;0;0
