Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;V51Z;V51B;D111Z;D111B;V111Z;V111B;D112Z;D112B;TF35aZ;TF35aB;TB35aZ;TB35aB;TF35bZ;TF35bB;TB35bZ;TB35bB
21.06.2024;02:00;A149;1;1;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:59;A149;1;1;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:58;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:57;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:56;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:55;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:54;A149;1;2;3;2;1;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:53;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:52;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:51;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:50;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:49;A149;1;2;2;2;1;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:48;A149;1;0;0;0;0;0;0;1;1;1;5;1;1;0;0;0;0;0;0;0;0
21.06.2024;01:47;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:46;A149;1;1;1;1;0;1;6;2;2;3;11;2;1;0;0;0;0;0;0;0;0
21.06.2024;01:45;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:44;A149;1;2;1;1;0;0;3;1;0;1;4;1;0;0;0;0;0;0;0;0;0
21.06.2024;01:43;A149;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:42;A149;1;0;0;0;0;0;0;1;1;1;8;2;2;0;0;0;0;0;0;0;0
21.06.2024;01:41;A149;1;2;1;2;1;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:40;A149;1;1;1;1;0;1;7;1;1;1;5;1;1;0;0;0;0;0;0;0;0
21.06.2024;01:39;A149;1;1;1;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:38;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:37;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:36;A149;1;2;3;2;2;2;18;0;0;0;0;1;0;0;0;0;0;0;0;0;0
21.06.2024;01:35;A149;1;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:34;A149;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:33;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:32;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:31;A149;1;0;0;0;0;0;0;1;1;1;7;1;1;0;0;0;0;0;0;0;0
21.06.2024;01:30;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:29;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:28;A149;1;2;2;2;2;2;12;3;1;1;7;1;0;0;0;0;0;0;0;0;0
21.06.2024;01:27;A149;1;1;0;1;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:26;A149;1;1;1;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:25;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:24;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:23;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:22;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:21;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:20;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:19;A149;1;2;2;2;1;2;12;1;1;1;7;1;0;0;0;0;0;0;0;0;0
21.06.2024;01:18;A149;1;1;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:17;A149;1;1;1;2;2;1;8;1;1;1;8;1;1;0;0;0;0;0;0;0;0
21.06.2024;01:16;A149;1;0;0;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:15;A149;1;0;0;0;0;0;0;2;2;2;13;2;2;0;0;0;0;0;0;0;0
21.06.2024;01:14;A149;1;2;2;1;0;3;12;2;1;1;7;1;1;0;0;0;0;0;0;0;0
21.06.2024;01:13;A149;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:12;A149;1;1;1;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:11;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:10;A149;1;1;1;1;0;1;8;1;1;1;6;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:09;A149;1;0;0;0;0;0;0;2;2;1;13;3;2;0;0;0;0;0;0;0;0
21.06.2024;01:08;A149;1;1;1;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:07;A149;1;1;1;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:06;A149;1;1;1;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:05;A149;1;1;1;1;0;1;10;2;1;1;8;2;1;0;0;0;0;0;0;0;0
21.06.2024;01:04;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:03;A149;1;1;1;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:02;A149;1;2;2;1;0;1;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0
21.06.2024;01:01;A149;1;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:00;A149;1;1;0;0;0;0;0;2;2;2;15;2;2;0;0;0;0;0;0;0;0
21.06.2024;00:59;A149;1;1;1;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:58;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:57;A149;1;0;0;0;0;0;0;1;1;2;8;1;0;0;0;0;0;0;0;0;0
21.06.2024;00:56;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:55;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:54;A149;1;1;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:53;A149;1;1;5;2;3;4;13;2;3;0;0;2;2;0;0;0;0;0;0;0;0
21.06.2024;00:52;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:51;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:50;A149;1;0;0;0;0;0;0;1;1;0;19;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:49;A149;1;1;0;0;0;0;0;1;0;1;88;1;0;0;0;0;0;0;0;0;0
21.06.2024;00:48;A149;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.06.2024;00:47;A149;1;2;2;1;0;1;16;2;1;1;12;3;2;0;0;0;0;0;0;0;0
21.06.2024;00:46;A149;1;3;4;2;2;1;23;1;1;1;6;1;1;0;0;0;0;0;0;0;0
21.06.2024;00:45;A149;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:44;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
