Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
21.06.2024;02:00;A 11;1;0;4;1;8;0;0;1;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;9;1;6;1;2;0;0;0;0
21.06.2024;01:59;A 11;1;1;7;1;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5
21.06.2024;01:58;A 11;1;1;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:57;A 11;1;2;20;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:56;A 11;1;0;0;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0
21.06.2024;01:55;A 11;1;0;0;1;10;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:54;A 11;1;0;0;1;7;0;0;2;3;2;2;0;0;0;100;0;100;0;0;0;0;0;0;4;30;2;15;1;8;0;0;0;0
21.06.2024;01:53;A 11;1;0;1;0;0;0;0;2;3;1;4;0;0;0;100;0;100;0;0;0;0;0;0;1;25;1;38;0;0;0;0;0;0
21.06.2024;01:52;A 11;1;1;13;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;12;1;18;1;9;0;0;0;0
21.06.2024;01:51;A 11;1;2;11;1;8;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:50;A 11;1;1;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:49;A 11;1;2;20;1;6;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:48;A 11;1;3;19;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:47;A 11;1;1;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:46;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:45;A 11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:44;A 11;1;1;17;1;15;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:43;A 11;1;1;5;2;17;0;0;1;1;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;23;1;12;1;11;0;0;0;0
21.06.2024;01:42;A 11;1;0;0;0;0;0;0;2;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;28;2;10;1;15;0;0;0;0
21.06.2024;01:41;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:40;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:39;A 11;1;1;18;2;17;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0
21.06.2024;01:38;A 11;1;1;10;1;14;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;10;1;11;1;20;0;0;0;0
21.06.2024;01:37;A 11;1;0;0;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;11;2;6;1;5;0;0;0;0
21.06.2024;01:36;A 11;1;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0
21.06.2024;01:35;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:34;A 11;1;0;0;0;0;0;0;1;1;1;2;0;0;0;100;0;100;0;0;0;0;0;0;2;39;1;11;3;22;0;0;0;0
21.06.2024;01:33;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:32;A 11;1;1;9;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
21.06.2024;01:31;A 11;1;1;11;1;10;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0
21.06.2024;01:30;A 11;1;1;12;1;5;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:29;A 11;1;1;16;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;11;0;0;2;5;0;16;0;0
21.06.2024;01:28;A 11;1;0;0;1;8;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0
21.06.2024;01:27;A 11;1;1;17;0;0;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0
21.06.2024;01:26;A 11;1;0;0;0;8;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;8;2;7;1;7;0;0;0;0
21.06.2024;01:25;A 11;1;0;0;1;3;0;0;0;0;1;7;0;0;0;100;0;100;0;0;0;0;0;0;1;31;1;39;1;23;0;0;0;0
21.06.2024;01:24;A 11;1;2;8;0;0;0;0;1;1;2;9;0;0;0;100;0;100;0;0;0;0;0;0;1;28;1;21;1;22;0;0;0;0
21.06.2024;01:23;A 11;1;1;13;1;18;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;15;2;9;1;11;0;0;0;0
21.06.2024;01:22;A 11;1;4;24;1;13;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:21;A 11;1;0;0;0;0;0;0;2;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;16;2;11;1;7;0;0;0;0
21.06.2024;01:20;A 11;1;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;13;1;16;1;12;0;0;0;0
21.06.2024;01:19;A 11;1;2;5;1;12;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:18;A 11;1;0;0;1;50;0;0;2;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;19;0;0;0;0;0;0;0;0
21.06.2024;01:17;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2
21.06.2024;01:16;A 11;1;1;12;0;0;1;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:15;A 11;1;0;11;0;0;1;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:14;A 11;1;2;18;0;0;0;0;2;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;30;0;9;0;6;0;0;0;0
21.06.2024;01:13;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;4;1;1;1;7;0;0;0;0
21.06.2024;01:12;A 11;1;0;0;2;21;0;0;0;0;2;2;0;0;0;100;0;100;0;0;0;0;0;0;2;22;3;13;3;18;0;0;0;0
21.06.2024;01:11;A 11;1;0;0;1;10;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;12;1;9;1;15;0;0;0;0
21.06.2024;01:10;A 11;1;0;0;0;0;1;1;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;6;0;8;0;6;0;0;0;0
21.06.2024;01:09;A 11;1;0;0;2;20;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;27;2;10;4;20;0;0;0;0
21.06.2024;01:08;A 11;1;2;18;0;0;0;0;1;2;0;0;1;2;0;100;0;100;0;0;0;0;0;0;1;17;0;2;0;4;0;0;0;0
21.06.2024;01:07;A 11;1;1;16;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;16;1;8;1;8;0;0;0;0
21.06.2024;01:06;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:05;A 11;1;0;0;0;0;0;0;3;3;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;43;1;12;1;8;0;0;0;0
21.06.2024;01:04;A 11;1;0;0;1;32;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:03;A 11;1;2;14;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:02;A 11;1;4;37;1;2;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;01:01;A 11;1;0;0;1;9;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0
21.06.2024;01:00;A 11;1;0;0;0;0;0;0;1;1;2;2;0;0;0;100;0;100;0;0;0;0;0;0;2;32;3;13;3;10;0;0;0;0
21.06.2024;00:59;A 11;1;1;14;1;12;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;12;0;0;2;3;0;0;0;0
21.06.2024;00:58;A 11;1;2;12;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:57;A 11;1;0;0;1;10;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:56;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:55;A 11;1;0;0;1;12;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;22;2;10;1;12;0;0;0;0
21.06.2024;00:54;A 11;1;2;14;2;59;1;1;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0
21.06.2024;00:53;A 11;1;0;0;2;10;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:52;A 11;1;1;16;0;0;0;0;2;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;27;2;9;1;13;0;0;0;0
21.06.2024;00:51;A 11;1;1;16;1;10;0;0;1;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;1;22;3;28;1;19;0;0;0;0
21.06.2024;00:50;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:49;A 11;1;2;35;1;9;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;12;1;7;1;8;0;0;0;0
21.06.2024;00:48;A 11;1;0;0;0;12;0;0;3;2;1;2;0;0;0;100;0;100;0;0;0;0;0;0;2;33;1;16;0;18;0;0;0;0
21.06.2024;00:47;A 11;1;0;0;1;2;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;25;1;9;4;12;0;0;0;0
21.06.2024;00:46;A 11;1;0;0;0;10;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;4;11;3;16;1;1;0;0;0;0
21.06.2024;00:45;A 11;1;0;0;1;8;0;0;1;1;0;0;1;1;0;100;0;100;0;0;0;0;0;0;2;18;2;9;1;15;0;0;0;0
21.06.2024;00:44;A 11;1;1;14;1;16;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;12;1;12;2;7;1;5;1;2
21.06.2024;00:43;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:42;A 11;1;1;15;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;6
21.06.2024;00:41;A 11;1;2;17;0;0;0;0;2;3;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;19;0;2;0;0;0;0;0;0
21.06.2024;00:40;A 11;1;1;16;1;10;0;0;1;0;4;8;0;0;0;100;0;100;0;0;0;0;0;0;2;43;3;44;3;28;0;0;1;7
21.06.2024;00:39;A 11;1;1;29;1;30;0;0;1;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;19;2;10;1;8;0;0;0;0
21.06.2024;00:38;A 11;1;0;31;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;1;2;1;7;1;6;1;6;2;5;0;0
