Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
18.01.2025;01:00;A110;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:59;A110;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:58;A110;1;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:57;A110;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:56;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:55;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:54;A110;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:53;A110;1;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:52;A110;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:51;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:50;A110;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:49;A110;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:48;A110;1;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:47;A110;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:46;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:45;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:44;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:43;A110;1;0;0;0;0;2;2;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:42;A110;1;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:41;A110;1;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:40;A110;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:39;A110;1;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:38;A110;1;1;1;1;2;1;1;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:37;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:36;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:35;A110;1;1;1;1;1;2;3;0;0;0;0;0;0;0;0;0;0;1;2;;;;;0;0;0;0;0;0
18.01.2025;00:34;A110;1;1;1;1;2;1;2;0;0;0;0;0;0;1;2;1;2;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:33;A110;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:32;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:31;A110;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:30;A110;1;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:29;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:28;A110;1;0;0;1;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:27;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:26;A110;1;0;0;1;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:25;A110;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:24;A110;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:23;A110;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:22;A110;1;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:21;A110;1;0;0;0;0;2;1;1;2;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:20;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:19;A110;1;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:18;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:17;A110;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:16;A110;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:15;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:14;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:13;A110;1;1;1;1;1;1;2;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:12;A110;1;0;0;0;0;3;2;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:11;A110;1;1;1;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:10;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:09;A110;1;0;0;0;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:08;A110;1;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:07;A110;1;0;0;1;1;4;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:06;A110;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:05;A110;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:04;A110;1;0;0;1;1;0;0;0;0;0;0;0;0;1;2;1;2;1;2;;;;;0;0;0;0;0;0
18.01.2025;00:03;A110;1;2;1;1;1;1;1;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:02;A110;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:01;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
18.01.2025;00:00;A110;1;1;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
17.01.2025;23:59;A110;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
17.01.2025;23:58;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
17.01.2025;23:57;A110;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
