Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
28.02.2025;01:00;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:59;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:58;A 24;1;0;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:57;A 24;1;0;0;0;0;0;0;0;0;1;3;0;0;1;5;1;6;1;29;0;0;1;4;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:56;A 24;1;2;2;0;0;2;21;0;0;0;0;1;1;0;0;1;6;1;7;0;0;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:55;A 24;1;1;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:54;A 24;1;1;1;0;0;1;8;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:53;A 24;1;1;1;1;0;1;7;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:52;A 24;1;1;0;1;0;1;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:51;A 24;1;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:50;A 24;1;1;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:49;A 24;1;1;3;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;1;21;0;0;0;21;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:48;A 24;1;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;1;6;0;0;1;16;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:47;A 24;1;1;1;0;0;1;9;0;0;0;0;2;3;0;0;2;17;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:46;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;7;1;16;1;30;2;10;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;
28.02.2025;00:45;A 24;1;2;1;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
