Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;V51Z;V51B;D111Z;D111B;V111Z;V111B;D112Z;D112B;TF35aZ;TF35aB;TB35aZ;TB35aB;TF35bZ;TF35bB;TB35bZ;TB35bB
05.03.2024;01:00;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:59;A149;1;1;0;0;0;0;0;1;4;4;6;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:58;A149;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:57;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:56;A149;1;0;0;0;0;0;0;1;1;1;6;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:55;A149;1;0;0;0;0;0;0;2;1;3;12;2;1;0;0;0;0;0;0;0;0
05.03.2024;00:54;A149;1;1;1;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:53;A149;1;0;0;0;0;0;0;1;1;1;2;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:52;A149;1;1;1;1;0;1;11;1;0;1;1;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:51;A149;1;1;1;1;0;0;0;1;3;1;1;1;3;0;0;0;0;0;0;0;0
05.03.2024;00:50;A149;1;0;0;0;0;0;0;1;1;1;5;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:49;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:48;A149;1;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:47;A149;1;0;0;1;1;1;5;1;1;1;1;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:46;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:45;A149;1;1;0;1;0;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:44;A149;1;0;0;0;0;0;0;1;1;2;7;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:43;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:42;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:41;A149;1;0;0;0;0;0;0;1;1;2;3;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:40;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:39;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:38;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:37;A149;1;1;4;1;3;1;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:36;A149;1;1;3;3;1;0;0;1;3;2;10;1;5;0;0;0;0;0;0;0;0
05.03.2024;00:35;A149;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:34;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:33;A149;1;2;2;2;1;2;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:32;A149;1;0;0;0;0;0;0;1;1;3;7;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:31;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:30;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:29;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:28;A149;1;2;2;2;2;2;18;1;0;0;0;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:27;A149;1;1;3;1;1;1;10;2;3;0;0;2;2;0;0;0;0;0;0;0;0
05.03.2024;00:26;A149;1;1;30;1;4;3;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:25;A149;1;1;1;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:24;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:23;A149;1;1;1;1;0;1;6;1;1;1;6;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:22;A149;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:21;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:20;A149;1;0;0;0;0;0;0;1;0;1;6;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:19;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:18;A149;1;2;2;2;1;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:17;A149;1;3;3;3;2;2;22;1;0;1;0;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:16;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:15;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:14;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:13;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:12;A149;1;1;1;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:11;A149;1;0;0;0;0;0;0;1;1;2;2;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:10;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:09;A149;1;1;1;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:08;A149;1;0;0;0;0;0;0;1;1;1;4;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:07;A149;1;0;0;0;0;0;0;1;1;1;6;1;1;0;0;0;0;0;0;0;0
05.03.2024;00:06;A149;1;2;2;2;1;0;0;1;3;1;10;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:05;A149;1;1;1;1;1;2;8;1;0;1;3;2;5;0;0;0;0;0;0;0;0
05.03.2024;00:04;A149;1;0;0;0;0;0;0;1;1;1;8;1;0;0;0;0;0;0;0;0;0
05.03.2024;00:03;A149;1;2;3;2;1;1;10;0;2;0;1;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:02;A149;1;1;1;1;0;1;8;1;0;1;9;1;3;0;0;0;0;0;0;0;0
05.03.2024;00:01;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2024;00:00;A149;1;1;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:59;A149;1;1;1;1;1;1;10;1;1;2;6;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:58;A149;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:57;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:56;A149;1;1;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:55;A149;1;1;32;0;0;0;40;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:54;A149;1;0;0;2;3;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:53;A149;1;2;3;2;1;2;13;1;3;1;10;1;3;0;0;0;0;0;0;0;0
04.03.2024;23:52;A149;1;2;2;2;1;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:51;A149;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:50;A149;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:49;A149;1;1;1;1;1;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:48;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:47;A149;1;1;0;0;0;0;0;2;3;1;9;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:46;A149;1;3;3;3;2;3;22;0;0;0;0;2;4;0;0;0;0;0;0;0;0
04.03.2024;23:45;A149;1;2;2;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:44;A149;1;3;3;3;2;4;32;1;0;0;0;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:43;A149;1;2;2;2;1;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:42;A149;1;1;1;1;1;0;8;1;1;0;7;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:41;A149;1;1;1;2;2;3;11;0;0;1;1;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:40;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:39;A149;1;1;1;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:38;A149;1;2;2;2;1;3;11;1;0;1;5;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:37;A149;1;1;0;0;0;0;0;1;1;2;4;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:36;A149;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:35;A149;1;3;4;1;0;0;7;1;3;1;10;1;5;0;0;0;0;0;0;0;0
04.03.2024;23:34;A149;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:33;A149;1;1;2;1;1;0;0;2;4;2;10;2;4;0;0;0;0;0;0;0;0
04.03.2024;23:32;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:31;A149;1;2;2;2;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:30;A149;1;0;0;1;1;1;4;1;1;1;5;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:29;A149;1;1;1;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:28;A149;1;2;3;1;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:27;A149;1;1;1;1;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:26;A149;1;0;32;2;1;1;40;5;4;0;0;2;1;0;0;0;0;0;0;0;0
04.03.2024;23:25;A149;1;1;0;2;4;1;15;1;1;2;4;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:24;A149;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:23;A149;1;1;1;1;1;2;11;1;1;1;4;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:22;A149;1;1;1;1;0;2;7;0;0;1;2;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:21;A149;1;2;2;2;1;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:20;A149;1;1;0;0;0;0;0;1;1;0;4;2;3;0;0;0;0;0;0;0;0
04.03.2024;23:19;A149;1;1;1;1;0;1;6;0;0;1;25;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:18;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:17;A149;1;3;3;3;2;2;12;1;4;2;12;1;3;0;0;0;0;0;0;0;0
04.03.2024;23:16;A149;1;2;1;2;1;1;9;3;2;2;15;3;3;0;0;0;0;0;0;0;0
04.03.2024;23:15;A149;1;1;1;1;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:14;A149;1;1;1;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:13;A149;1;2;2;2;1;2;21;1;0;1;0;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:12;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:11;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:10;A149;1;5;6;4;3;2;35;1;0;1;1;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:09;A149;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:08;A149;1;0;0;0;0;0;0;2;2;2;4;2;2;1;1;0;0;0;0;0;0
04.03.2024;23:07;A149;1;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:06;A149;1;2;2;3;1;1;5;1;4;2;12;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:05;A149;1;1;1;2;1;1;7;3;3;4;18;3;7;0;0;0;0;0;0;0;0
04.03.2024;23:04;A149;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:03;A149;1;1;1;2;2;1;13;1;1;3;3;1;1;0;0;0;0;0;0;0;0
04.03.2024;23:02;A149;1;1;1;1;1;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;23:01;A149;1;1;1;1;1;1;9;1;1;1;7;1;0;0;0;0;0;0;0;0;0
04.03.2024;23:00;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:59;A149;1;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0
04.03.2024;22:58;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:57;A149;1;1;0;2;2;1;4;2;2;2;6;1;0;0;0;0;0;0;0;0;0
04.03.2024;22:56;A149;1;1;6;0;0;0;0;2;5;1;21;3;6;0;0;0;0;0;0;0;0
04.03.2024;22:55;A149;1;3;50;3;6;3;60;2;2;2;7;1;2;0;0;0;0;1;1;0;0
04.03.2024;22:54;A149;1;1;1;1;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:53;A149;1;1;1;1;0;1;8;1;1;2;1;1;0;0;0;0;0;0;0;0;0
04.03.2024;22:52;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:51;A149;1;5;4;4;3;1;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:50;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:49;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:48;A149;1;1;0;1;0;1;6;3;2;5;14;3;3;0;0;0;0;0;0;0;0
04.03.2024;22:47;A149;1;2;2;2;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:46;A149;1;1;1;1;0;1;9;1;1;1;7;1;0;0;0;0;0;0;0;0;0
04.03.2024;22:45;A149;1;2;1;2;1;2;13;2;2;2;8;1;1;0;0;0;0;0;0;0;0
04.03.2024;22:44;A149;1;1;1;1;0;1;8;1;1;1;7;2;1;0;0;0;0;0;0;0;0
04.03.2024;22:43;A149;1;1;0;1;0;2;10;1;1;1;6;1;0;0;0;0;0;0;0;0;0
04.03.2024;22:42;A149;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:41;A149;1;1;1;1;0;1;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0
04.03.2024;22:40;A149;1;3;4;3;2;2;23;2;2;2;8;2;2;0;0;0;0;0;0;0;0
04.03.2024;22:39;A149;1;2;2;2;1;1;16;2;2;1;9;2;2;0;0;0;0;0;0;0;0
04.03.2024;22:38;A149;1;2;4;4;2;1;7;1;3;1;7;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:37;A149;1;0;0;0;0;0;0;2;2;2;2;3;8;0;0;0;0;0;0;0;0
04.03.2024;22:36;A149;1;0;0;0;0;0;0;1;1;1;6;0;0;0;0;0;0;0;0;0;0
04.03.2024;22:35;A149;1;1;1;2;1;1;9;3;2;2;16;4;5;0;0;0;0;0;0;0;0
