Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;D51Z;D51B;V52Z;V52B;V81Z;V81B;V82Z;V82B;D83Z;D83B;V91Z;V91B;V92Z;V92B;V101Z;V101B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TF32aZ;TF32aB;TF35Z;TF35B;TF35aZ;TF35aB;TF38Z;TF38B;TF38aZ;TF38aB;TF40Z;TF40B;TF40aZ;TF40aB;TF41Z;TF41B;TF41aZ;TF41aB;V1_4_StoerZ;V1_4_StoerB;V123Z;V123B;V121Z;V121B;V122Z;V122B;V5_StoerZ;V5_StoerB
04.12.2024;01:00;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:59;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;0;1;0;1;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:58;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
04.12.2024;00:57;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:56;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
04.12.2024;00:55;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
04.12.2024;00:54;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:53;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
04.12.2024;00:52;A 67;1;0;0;0;0;0;0;0;28;0;27;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:51;A 67;1;0;0;2;15;0;0;1;2;1;3;1;10;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:50;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;6;0;0;0;0;2;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:49;A 67;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;1;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:48;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:47;A 67;1;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:46;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:45;A 67;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
04.12.2024;00:44;A 67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
