Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D41Z;D41B;D42Z;D42B;H75_M1_736Z;H75_M1_736B;AH75/HH81_M2_7XZ;AH75/HH81_M2_7XB;AD75/HD81_M2_7XZ;AD75/HD81_M2_7XB;AH81_M4_738Z;AH81_M4_738B;AH81_M5_769Z;AH81_M5_769B;AD81_M5_769Z;AD81_M5_769B;AH75_M7_770Z;AH75_M7_770B;T1_T2Z;T1_T2B;T5_T6Z;T5_T6B;T7_T8Z;T7_T8B;T11_T12Z;T11_T12B
16.04.2024;01:35;A  7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;01:34;A  7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.04.2024;04:27;A  7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
