Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V321Z;V321B;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
07.05.2024;02:00;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:59;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:58;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:57;A116;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:56;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:55;A116;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:54;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:53;A116;1;0;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:52;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:51;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:50;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:49;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:48;A116;1;0;0;1;8;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:47;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:46;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:45;A116;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:44;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:43;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:42;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:41;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:40;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:39;A116;1;0;0;1;8;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:38;A116;1;0;0;1;6;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:37;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:36;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:35;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:34;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:33;A116;1;0;0;3;8;2;3;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:32;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:31;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:30;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:29;A116;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:28;A116;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:27;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:26;A116;1;3;3;1;4;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:25;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:24;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:23;A116;1;0;0;1;5;1;1;0;0;0;0;1;1;0;0;0;0
07.05.2024;01:22;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:21;A116;1;0;0;2;4;1;0;0;0;0;0;1;1;0;0;0;0
07.05.2024;01:20;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:19;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:18;A116;1;0;0;1;12;1;4;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:17;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:16;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:15;A116;1;0;0;2;4;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:14;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:13;A116;1;0;0;1;4;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:12;A116;1;0;0;1;6;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:11;A116;1;0;0;1;7;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:10;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:09;A116;1;0;0;2;2;1;0;0;0;0;0;1;0;0;0;0;0
07.05.2024;01:08;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:07;A116;1;0;0;1;6;1;2;0;0;0;0;1;1;0;0;0;0
07.05.2024;01:06;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:05;A116;1;0;0;1;6;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:04;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:03;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:02;A116;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:01;A116;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:00;A116;1;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:59;A116;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:58;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:57;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:56;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:55;A116;1;2;3;4;16;2;2;0;0;0;0;1;0;0;0;0;0
07.05.2024;00:54;A116;1;1;8;1;4;1;2;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:53;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:52;A116;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0
07.05.2024;00:51;A116;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:50;A116;1;0;0;1;4;1;1;0;0;0;0;1;3;0;0;0;0
07.05.2024;00:49;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:48;A116;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:47;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:46;A116;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:45;A116;1;0;0;1;6;1;1;0;0;0;0;1;2;0;0;0;0
07.05.2024;00:44;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:43;A116;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:42;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:41;A116;1;0;0;1;10;1;3;0;0;0;0;1;4;0;0;0;0
07.05.2024;00:40;A116;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:39;A116;1;2;3;2;2;1;1;0;0;0;0;1;1;0;0;0;0
07.05.2024;00:38;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:37;A116;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:36;A116;1;2;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:35;A116;1;1;3;1;4;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;00:34;A116;1;0;0;1;6;2;2;0;0;0;0;1;0;0;0;0;0
07.05.2024;00:33;A116;1;0;0;3;25;2;2;0;0;0;0;0;0;0;0;0;0
