Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;TF35Z;TF35B;TBS35Z;TBS35B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB
07.05.2024;02:00;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:59;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:58;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:57;A108;1;1;7;1;9;0;0;0;0;0;0;0;0
07.05.2024;01:56;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:55;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:54;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:53;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:52;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:51;A108;1;1;15;1;6;0;0;0;0;0;0;0;0
07.05.2024;01:50;A108;1;2;11;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:49;A108;1;0;0;1;9;0;0;0;0;0;0;0;0
07.05.2024;01:48;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:47;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:46;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:45;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:44;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:43;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:42;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:41;A108;1;0;6;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:40;A108;1;1;1;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:39;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:38;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:37;A108;1;1;6;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:36;A108;1;1;7;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:35;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:34;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:33;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:32;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2024;01:31;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
