Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D31Z;D31B;D41Z;D41B;D42Z;D42B;H57_M1_1137Z;H57_M1_1137B;A57_M2_1138Z;A57_M2_1138B;H53_M3_3006Z;H53_M3_3006B;A53_M5_3007Z;A53_M5_3007B;H53_M6_1140Z;H53_M6_1140B;D43Z;D43B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
11.05.2024;02:00;A  5;1;0;0;1;0;0;0;0;100;1;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:59;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:58;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
11.05.2024;01:57;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:56;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:55;A  5;1;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:54;A  5;1;0;0;0;0;0;0;0;100;1;2;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:53;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:52;A  5;1;0;0;0;0;0;0;0;100;1;1;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:51;A  5;1;0;0;1;7;0;0;0;100;1;19;1;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:50;A  5;1;0;0;1;2;0;0;0;100;1;2;1;1;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:49;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:48;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;1;2;0;0;2;3;;;1;2;0;0;;;0;0;;;;;;
11.05.2024;01:47;A  5;1;0;0;1;2;0;0;0;100;0;0;1;1;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:46;A  5;1;1;5;1;4;0;0;0;100;1;1;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:45;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
11.05.2024;01:44;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
11.05.2024;01:43;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:42;A  5;1;0;0;0;0;0;0;0;100;1;1;1;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:41;A  5;1;0;0;0;0;0;0;0;100;0;0;3;5;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:40;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:39;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:38;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:37;A  5;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:36;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:35;A  5;1;0;0;0;0;0;0;0;100;2;8;1;2;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:34;A  5;1;0;0;0;0;0;0;0;100;0;0;1;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:33;A  5;1;0;0;0;0;0;0;0;100;1;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:32;A  5;1;1;1;1;1;0;0;0;100;0;0;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:31;A  5;1;0;0;2;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:30;A  5;1;0;0;1;1;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:29;A  5;1;0;0;0;0;0;0;0;100;1;2;2;5;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:28;A  5;1;0;0;0;0;0;0;0;100;1;3;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:27;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:26;A  5;1;0;0;0;0;0;0;0;100;1;1;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:25;A  5;1;1;2;2;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:24;A  5;1;0;0;0;0;0;0;0;100;0;29;2;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:23;A  5;1;0;0;0;0;0;0;0;100;1;15;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:22;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:21;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:20;A  5;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:19;A  5;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:18;A  5;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;2;3;;;1;2;0;0;;;0;0;;;;;;
11.05.2024;01:17;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;4;7;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:16;A  5;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:15;A  5;1;0;0;0;0;0;0;0;100;0;17;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:14;A  5;1;1;1;1;1;0;0;0;100;1;18;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:13;A  5;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
11.05.2024;01:12;A  5;1;1;13;1;0;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
11.05.2024;01:11;A  5;1;0;0;1;5;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;1;2;;;0;0;;;;;;
11.05.2024;01:10;A  5;1;0;0;0;0;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
11.05.2024;01:09;A  5;1;1;1;1;2;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
