Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
25.11.2024;01:00;A 24;1;0;0;1;5;0;0;4;8;1;14;4;28;1;7;5;26;0;100;0;100;0;0;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:59;A 24;1;1;5;0;0;2;8;0;0;0;0;1;2;0;0;1;4;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:58;A 24;1;0;0;1;2;0;0;1;7;0;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:57;A 24;1;0;0;0;0;0;0;0;0;1;26;0;0;2;8;0;0;0;100;0;100;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:56;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:55;A 24;1;1;1;2;2;2;7;2;5;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:54;A 24;1;2;2;0;0;2;13;1;3;0;0;0;0;0;0;0;0;0;100;0;100;2;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:53;A 24;1;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;11;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:52;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;24;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:51;A 24;1;1;18;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;2;15;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:50;A 24;1;0;0;1;20;0;0;3;5;0;0;0;0;0;0;0;0;0;100;0;100;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:49;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;9;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:48;A 24;1;1;26;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:47;A 24;1;1;15;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:46;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:45;A 24;1;1;22;3;24;1;9;2;33;1;0;0;0;1;5;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:44;A 24;1;0;0;2;26;0;0;2;12;1;3;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:43;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:42;A 24;1;0;0;0;0;0;0;0;0;2;1;1;0;2;7;1;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:41;A 24;1;1;42;0;0;1;8;0;0;2;16;0;0;1;9;0;0;0;100;0;100;1;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:40;A 24;1;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:39;A 24;1;1;8;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:38;A 24;1;1;32;0;0;2;7;0;0;2;2;0;0;3;13;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:37;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:36;A 24;1;1;0;0;0;2;6;0;0;2;3;0;40;5;11;1;11;0;100;0;100;0;0;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:35;A 24;1;0;0;0;0;0;0;0;0;1;0;2;3;0;0;3;19;0;100;0;100;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:34;A 24;1;1;10;1;1;1;8;2;4;1;0;2;1;2;5;1;4;0;100;0;100;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:33;A 24;1;2;5;1;0;5;18;3;2;1;1;1;1;2;11;1;8;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:32;A 24;1;1;18;1;26;2;8;3;3;1;0;1;0;1;5;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:31;A 24;1;0;2;1;35;0;0;3;7;0;0;1;20;0;0;1;3;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:30;A 24;1;1;36;0;0;1;9;0;0;0;0;1;24;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:29;A 24;1;1;1;0;0;2;7;0;0;0;0;0;0;0;0;1;6;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:28;A 24;1;1;1;1;1;2;6;1;4;1;3;1;0;1;11;1;4;0;100;0;100;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
25.11.2024;00:27;A 24;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
