Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B
18.04.2024;01:29;A 58;1;0;0;0;0
18.04.2024;01:22;A 58;1;0;0;0;0
18.04.2024;01:16;A 58;1;0;0;0;0
18.04.2024;01:10;A 58;1;0;0;0;0
17.04.2024;22:19;A 58;1;0;0;0;0
17.04.2024;22:13;A 58;1;0;0;0;0
17.04.2024;22:07;A 58;1;0;0;0;0
17.04.2024;22:01;A 58;1;0;0;1;2
17.04.2024;21:55;A 58;1;0;0;0;0
17.04.2024;21:39;A 58;1;0;0;0;0
17.04.2024;19:03;A 58;1;0;0;0;0
17.04.2024;18:57;A 58;1;0;0;0;0
17.04.2024;18:51;A 58;1;0;0;0;0
17.04.2024;18:40;A 58;1;0;0;0;0
17.04.2024;17:43;A 58;1;0;0;0;0
17.04.2024;16:57;A 58;1;0;0;0;0
17.04.2024;10:13;A 58;1;0;0;0;2
17.04.2024;04:53;A 58;1;0;0;0;0
