Datum;Uhrzeit;Bezeichnung;Intervall;H51_M1_669Z;H51_M1_669B;A51_M2_652Z;A51_M2_652B;V55_M4_664Z;V55_M4_664B;H55_M5_665Z;H55_M5_665B;A55_M6_666Z;A55_M6_666B;H51/1_M2_652Z;H51/1_M2_652B;A51/1_M3_653Z;A51/1_M3_653B;T1Z;T1B;T5Z;T5B;T6Z;T6B;Schluessel_S55Z;Schluessel_S55B;VR_101_einwZ;VR_101_einwB;VR_102_auswZ;VR_102_auswB
01.01.2024;01:00;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0
01.01.2024;00:59;A 78;1;1;2;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
01.01.2024;00:58;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:57;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:56;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:55;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:54;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:53;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:52;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:51;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
01.01.2024;00:50;A 78;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
