Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B;T5Z;T5B;T6Z;T6B;T7Z;T7B;T8Z;T8B;D21Z;D21B;D22_1Z;D22_1B;D22_2Z;D22_2B;D23Z;D23B;D81Z;D81B;D82_1Z;D82_1B;D82_2Z;D82_2B;D111Z;D111B;D112Z;D112B;V24Z;V24B;V25Z;V25B;V51Z;V51B;V52Z;V52B;V83Z;V83B;V84Z;V84B;V113Z;V113B;V114Z;V114B;V1_i_OZ;V1_i_OB;V2_i_OZ;V2_i_OB;V3_i_OZ;V3_i_OB;V4_i_OZ;V4_i_OB
01.01.2024;01:00;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;33;0;0;0;0;0;0;3;39;2;30;3;23;0;0;1;1;0;44;0;0;2;2;1;5;3;41;2;14;3;21;0;0;;;;;;;0;0
01.01.2024;00:59;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;2;14;5;4;5;4;1;2;0;0;2;22;0;0;2;15;0;0;4;15;0;0;2;14;0;0;;;;;;;0;0
01.01.2024;00:58;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;0;0;0;2;25;1;2;1;1;0;0;1;1;3;20;0;0;0;0;0;0;1;12;0;0;0;0;0;0;;;;;;;0;0
01.01.2024;00:57;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;49;1;24;1;5;0;0;3;16;1;1;1;1;3;48;1;23;3;47;3;5;3;17;1;4;1;27;0;0;2;23;1;3;;;;;;;0;0
01.01.2024;00:56;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;65;1;0;1;0;0;0;2;64;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;2;10;0;0;0;0;0;0;;;;;;;0;0
01.01.2024;00:55;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;2;31;2;30;0;0;4;21;0;0;0;0;0;0;0;0;5;16;4;17;0;0;0;0;2;31;0;0;0;0;0;0;;;;;;;0;0
01.01.2024;00:54;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;36;2;16;2;18;0;0;2;33;0;0;0;0;0;0;1;1;3;48;1;26;0;0;0;0;3;17;0;0;0;0;0;0;;;;;;;0;0
01.01.2024;00:53;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;1;10;0;0;0;0;0;0;1;16;1;12;0;0;0;0;0;0;2;6;0;0;0;0;0;5;;;;;;;0;0
01.01.2024;00:52;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;1;11;0;0;0;0;3;3;0;0;2;5;0;0;1;5;0;0;2;10;0;0;5;22;1;1;;;;;;;0;0
01.01.2024;00:51;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;0;0;0;0;0;0;3;57;0;0;0;0;2;17;0;0;3;5;0;0;0;0;0;0;8;26;0;0;2;11;0;0;;;;;;;0;0
01.01.2024;00:50;A 37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;14;2;1;2;1;2;2;3;4;3;3;0;0;0;0;0;0;3;7;0;0;2;13;2;12;;;;;;;0;0
