Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;Anf_35Z;Anf_35B;Anf_41Z;Anf_41B
07.09.2024;02:00;A 70;1;0;0;2;11;0;40;0;0;2;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:59;A 70;1;0;0;0;0;1;31;0;0;2;2;0;0;0;3;0;100;2;13;0;0;0;0;;;;;;;;;;
07.09.2024;01:58;A 70;1;0;0;0;0;0;0;1;1;1;0;0;0;1;68;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:57;A 70;1;0;0;0;42;0;0;2;2;3;2;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:56;A 70;1;0;0;1;26;0;0;0;0;1;0;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:55;A 70;1;0;54;0;0;0;0;0;0;0;0;0;0;2;6;0;100;1;2;0;0;0;0;;;;;;;;;;
07.09.2024;01:54;A 70;1;1;16;0;0;0;0;0;0;1;0;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:53;A 70;1;1;62;1;2;0;0;1;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:52;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:51;A 70;1;0;0;0;51;0;49;1;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:50;A 70;1;0;0;1;17;1;16;1;1;1;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:49;A 70;1;0;0;0;0;0;21;0;0;2;2;0;0;0;20;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:48;A 70;1;0;0;0;0;1;50;2;4;2;2;0;0;1;32;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:47;A 70;1;0;0;0;0;0;0;1;2;1;1;0;0;1;1;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:46;A 70;1;0;0;0;0;1;68;0;0;0;0;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:45;A 70;1;0;0;1;23;0;0;0;0;0;0;0;0;0;69;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:44;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:43;A 70;1;0;0;1;2;2;3;0;0;2;1;0;0;0;67;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:42;A 70;1;0;0;0;0;0;0;1;1;1;0;0;0;1;19;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:41;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;1;52;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:40;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:39;A 70;1;0;0;0;0;1;1;2;2;2;1;0;0;0;0;0;100;1;2;0;0;0;0;;;;;;;;;;
07.09.2024;01:38;A 70;1;0;0;0;0;0;0;2;2;3;2;0;0;1;69;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:37;A 70;1;0;62;0;0;1;1;0;0;1;1;0;0;0;63;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:36;A 70;1;1;7;0;0;0;0;1;2;2;2;0;0;2;5;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:35;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:34;A 70;1;1;3;0;0;1;0;0;0;1;1;0;0;1;1;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:33;A 70;1;0;0;0;0;1;1;0;0;1;0;0;0;1;67;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:32;A 70;1;0;0;0;0;0;0;0;0;1;0;0;0;0;17;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:31;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;1;52;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:30;A 70;1;0;0;0;0;0;0;0;0;1;0;0;0;1;67;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:29;A 70;1;0;0;0;0;0;0;2;2;2;2;0;0;0;45;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:28;A 70;1;0;0;0;0;0;0;0;0;1;0;0;0;1;24;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:27;A 70;1;0;0;1;37;1;1;1;1;1;0;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:26;A 70;1;0;0;1;36;0;0;0;0;2;1;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:25;A 70;1;0;0;0;0;1;10;1;1;0;0;0;0;1;30;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:24;A 70;1;0;0;0;0;0;0;3;5;1;1;0;0;2;52;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:23;A 70;1;0;0;0;0;0;0;0;0;1;1;0;0;1;49;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:22;A 70;1;0;0;0;0;1;70;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:21;A 70;1;0;0;1;31;0;63;1;2;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:20;A 70;1;0;0;0;0;1;6;0;1;0;0;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:19;A 70;1;1;3;2;61;2;62;1;0;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:18;A 70;1;0;0;0;0;1;0;3;3;3;2;0;0;2;71;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:17;A 70;1;0;0;1;63;3;61;1;1;2;1;0;0;2;4;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:16;A 70;1;0;0;1;43;1;9;2;3;2;4;0;0;1;38;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:15;A 70;1;0;0;1;26;0;3;1;1;1;1;0;0;1;37;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:14;A 70;1;0;0;1;11;2;66;0;0;0;0;0;0;2;2;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:13;A 70;1;0;0;2;74;1;1;2;2;3;2;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:12;A 70;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;100;3;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:11;A 70;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:10;A 70;1;0;0;1;67;1;2;2;3;1;41;0;0;1;10;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:09;A 70;1;1;11;2;14;3;8;0;0;2;2;0;0;0;0;0;100;0;0;1;2;1;2;;;;;;;;;;
07.09.2024;01:08;A 70;1;1;67;2;48;2;47;0;0;1;1;0;0;1;1;0;100;1;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:07;A 70;1;0;0;1;1;2;1;2;3;2;2;0;0;1;1;0;100;0;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:06;A 70;1;0;0;0;0;0;0;0;0;1;0;0;0;2;61;0;100;2;1;0;0;0;0;;;;;;;;;;
07.09.2024;01:05;A 70;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
07.09.2024;01:04;A 70;1;1;52;1;1;1;66;1;1;1;1;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
