Datum;Uhrzeit;Bezeichnung;Intervall;HAMP01Z;HAMP01B;ABMP02Z;ABMP02B;HAMP03Z;HAMP03B;ABMP04Z;ABMP04B;T1Z;T1B;T2Z;T2B
17.04.2024;01:33;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:32;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:31;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:30;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:29;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:28;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:14;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:13;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:12;A 79;1;0;0;0;0;1;2;1;2;0;0;0;0
17.04.2024;01:11;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:22;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:21;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:20;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:19;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:07;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:16;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:15;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:14;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:13;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:12;A 79;1;0;0;0;0;0;0;1;2;0;0;0;0
16.04.2024;19:11;A 79;1;0;0;0;0;1;2;0;0;0;0;0;0
16.04.2024;19:09;A 79;1;0;0;1;2;0;0;0;0;0;0;0;0
16.04.2024;18:15;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:14;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:13;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:12;A 79;1;0;0;0;0;1;2;1;2;0;0;0;0
16.04.2024;17:57;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;16:03;A 79;1;0;0;0;0;1;2;1;2;0;0;0;0
16.04.2024;15:48;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:26;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:25;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:24;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:23;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:22;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:21;A 79;1;0;0;0;0;1;2;1;2;0;0;0;0
