Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D51Z;D51B;V52Z;V52B;D81Z;D81B;V82Z;V82B;D111Z;D111B;V112Z;V112B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB38Z;TB38B;TB41Z;TB41B
22.09.2024;02:00;A 35;1;0;0;0;0;0;0;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:58;A 35;1;0;0;0;0;0;0;0;0;1;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:57;A 35;1;0;0;0;0;1;0;1;3;0;0;0;0;0;100;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:56;A 35;1;0;0;0;0;0;0;2;7;0;0;0;0;0;100;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:55;A 35;1;0;0;0;0;0;0;1;2;0;0;0;0;0;100;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:54;A 35;1;0;0;0;0;0;0;1;33;0;0;0;0;0;100;2;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:53;A 35;1;1;9;1;6;1;1;4;23;0;0;0;0;0;100;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:52;A 35;1;0;0;0;0;1;0;3;10;0;0;0;0;0;100;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:51;A 35;1;0;0;0;0;0;0;0;0;1;70;1;5;0;100;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:50;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:49;A 35;1;0;0;0;0;0;0;1;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:48;A 35;1;0;0;0;0;0;0;1;17;0;0;0;0;0;100;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:47;A 35;1;0;0;0;0;0;0;1;3;1;10;1;6;0;100;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2024;01:46;A 35;1;0;0;0;0;0;0;0;0;1;21;2;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
