Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D31Z;D31B;D32Z;D32B;V33Z;V33B;D51Z;D51B;D52Z;D52B;D53Z;D53B;D54Z;D54B;V55Z;V55B;V56Z;V56B;V57Z;V57B;V58Z;V58B;V71Z;V71B;D81Z;D81B;V82Z;V82B;D91Z;D91B;D92Z;D92B;V93Z;V93B;D111Z;D111B;D112Z;D112B;D113Z;D113B;V114Z;V114B;V115Z;V115B;V116Z;V116B;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;T4_sZ;T4_sB;T4_bZ;T4_bB;T7_sZ;T7_sB;T7_bZ;T7_bB;T8_sZ;T8_sB;T8_bZ;T8_bB;T9_sZ;T9_sB;T9_bZ;T9_bB;T10_sZ;T10_sB;T10_bZ;T10_bB;MP1_A51Z;MP1_A51B;MP2_A51Z;MP2_A51B;MP1Z;MP1B;MP2_A52Z;MP2_A52B;MP3_A52Z;MP3_A52B;MP2Z;MP2B;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;V4_IOZ;V4_IOB
23.03.2025;01:00;A 27;1;0;0;0;0;1;18;1;1;1;6;0;0;1;1;1;1;0;0;1;4;3;21;2;8;0;0;0;0;0;0;0;0;1;74;1;1;1;7;0;0;2;4;0;0;2;9;2;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:59;A 27;1;2;2;2;14;0;0;0;0;0;0;0;0;0;0;2;40;0;0;1;20;1;69;0;0;0;0;1;0;0;0;0;2;1;13;1;1;1;10;0;0;1;1;0;0;1;7;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:58;A 27;1;1;1;1;11;1;44;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:57;A 27;1;2;2;2;13;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;1;92;1;2;0;5;0;0;2;2;0;0;1;8;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:56;A 27;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;17;0;0;1;6;1;50;2;9;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;1;0;1;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:55;A 27;1;1;1;1;6;3;3;1;4;0;0;1;1;0;0;0;0;0;0;1;11;1;8;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;3;4;1;25;3;16;7;16;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:54;A 27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;17;0;0;0;0;0;0;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:53;A 27;1;1;0;1;9;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;1;12;0;0;0;0;0;0;2;5;0;44;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:52;A 27;1;0;0;0;0;0;71;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;14;0;0;0;0;0;0;0;0;2;3;0;0;1;9;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
23.03.2025;00:51;A 27;1;3;2;2;18;1;5;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;36;3;8;1;11;5;74;3;49;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
